"filename", "language", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\api\allAPIs.tsx", "TypeScript JSX", 0, 10, 1, 3, 14
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\api\apiService.tsx", "TypeScript JSX", 0, 27, 3, 8, 38
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\AdminDashboard\page.tsx", "TypeScript JSX", 0, 48, 1, 13, 62
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\AfterLogin\page.tsx", "TypeScript JSX", 0, 31, 10, 8, 49
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\Dashboard\layout.tsx", "TypeScript JSX", 0, 14, 1, 2, 17
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\about\page.tsx", "TypeScript JSX", 0, 21, 1, 5, 27
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\blog-details\page.tsx", "TypeScript JSX", 0, 342, 1, 5, 348
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\blog-sidebar\page.tsx", "TypeScript JSX", 0, 465, 1, 6, 472
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\blog\page.tsx", "TypeScript JSX", 0, 92, 1, 7, 100
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\book\add\page.tsx", "TypeScript JSX", 0, 3, 0, 0, 3
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\book\approve_reject_book\page.tsx", "TypeScript JSX", 0, 3, 0, 0, 3
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\book\update\page.tsx", "TypeScript JSX", 0, 3, 0, 0, 3
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\book\view\page.tsx", "TypeScript JSX", 0, 216, 10, 33, 259
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\contact\page.tsx", "TypeScript JSX", 0, 19, 1, 6, 26
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\error\page.tsx", "TypeScript JSX", 0, 533, 1, 5, 539
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\layout.tsx", "TypeScript JSX", 0, 27, 4, 7, 38
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\logout\page.tsx", "TypeScript JSX", 0, 24, 2, 4, 30
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\otp\page.tsx", "TypeScript JSX", 0, 97, 3, 27, 127
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\page.tsx", "TypeScript JSX", 0, 21, 10, 4, 35
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\profile\page.tsx", "TypeScript JSX", 0, 46, 2, 15, 63
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\providers.tsx", "TypeScript JSX", 0, 9, 0, 3, 12
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\signin\page.tsx", "TypeScript JSX", 0, 103, 4, 20, 127
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\signup\page.tsx", "TypeScript JSX", 0, 189, 10, 26, 225
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\app\userDashboard\page.tsx", "TypeScript JSX", 0, 48, 1, 13, 62
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\components\About\AboutSectionOne.tsx", "TypeScript JSX", 0, 68, 0, 8, 76
"c:\Users\LENOVO\Downloads\startup-nextjs-main\startup-nextjs-main\src\components\About\AboutSectionTwo.tsx", "TypeScript JSX", 0, 62, 0, 3, 65
